Fra_dato,Mængde,Måleenhed,Kvalitet,Type
13/01/2023 03.00,00.29,KWH,Målt,Tidsserie
13/01/2023 04.00,00.24,KWH,Målt,Tidsserie
13/01/2023 05.00,00.33,KWH,Målt,Tidsserie
13/01/2023 06.00,0.0430555555555556,KWH,Målt,Tidsserie
13/01/2023 07.00,00.55,KWH,Målt,Tidsserie
13/01/2023 08.00,01.12,KWH,Målt,Tidsserie
13/01/2023 09.00,00.44,KWH,Målt,Tidsserie
13/01/2023 10.00,01.23,KWH,Målt,Tidsserie
13/01/2023 11.00,02.15,KWH,Målt,Tidsserie
13/01/2023 12.00,01.54,KWH,Målt,Tidsserie
13/01/2023 13.00,0.0479166666666667,KWH,Målt,Tidsserie
13/01/2023 14.00,02.04,KWH,Målt,Tidsserie
13/01/2023 15.00,0.0541666666666667,KWH,Målt,Tidsserie
13/01/2023 16.00,01.08,KWH,Målt,Tidsserie
13/01/2023 17.00,01.27,KWH,Målt,Tidsserie
13/01/2023 18.00,01.13,KWH,Målt,Tidsserie
13/01/2023 19.00,01.41,KWH,Målt,Tidsserie
13/01/2023 20.00,0.0680555555555555,KWH,Målt,Tidsserie
13/01/2023 21.00,0.0652777777777778,KWH,Målt,Tidsserie
13/01/2023 22.00,0.05625,KWH,Målt,Tidsserie
13/01/2023 23.00,0.0451388888888889,KWH,Målt,Tidsserie
14/01/2023 00.00,00.44,KWH,Målt,Tidsserie
14/01/2023 01.00,00.43,KWH,Målt,Tidsserie
14/01/2023 02.00,00.32,KWH,Målt,Tidsserie
14/01/2023 03.00,00.33,KWH,Målt,Tidsserie
14/01/2023 04.00,00.35,KWH,Målt,Tidsserie
14/01/2023 05.00,00.27,KWH,Målt,Tidsserie
14/01/2023 06.00,00.26,KWH,Målt,Tidsserie
14/01/2023 07.00,00.31,KWH,Målt,Tidsserie
14/01/2023 08.00,00.53,KWH,Målt,Tidsserie
14/01/2023 09.00,00.48,KWH,Målt,Tidsserie
14/01/2023 10.00,00.41,KWH,Målt,Tidsserie
14/01/2023 11.00,01.27,KWH,Målt,Tidsserie
14/01/2023 12.00,0.0548611111111111,KWH,Målt,Tidsserie
14/01/2023 13.00,00.33,KWH,Målt,Tidsserie
14/01/2023 14.00,00.28,KWH,Målt,Tidsserie
14/01/2023 15.00,00.45,KWH,Målt,Tidsserie
14/01/2023 16.00,00.43,KWH,Målt,Tidsserie
14/01/2023 17.00,00.09,KWH,Målt,Tidsserie
14/01/2023 18.00,0.06875,KWH,Målt,Tidsserie
14/01/2023 19.00,0.0659722222222222,KWH,Målt,Tidsserie
14/01/2023 20.00,0.0423611111111111,KWH,Målt,Tidsserie
14/01/2023 21.00,01.06,KWH,Målt,Tidsserie
14/01/2023 22.00,0.0423611111111111,KWH,Målt,Tidsserie
14/01/2023 23.00,00.47,KWH,Målt,Tidsserie
15/01/2023 00.00,00.05,KWH,Målt,Tidsserie
15/01/2023 01.00,00.43,KWH,Målt,Tidsserie
15/01/2023 02.00,00.34,KWH,Målt,Tidsserie
15/01/2023 03.00,00.39,KWH,Målt,Tidsserie
15/01/2023 04.00,00.34,KWH,Målt,Tidsserie
15/01/2023 05.00,00.35,KWH,Målt,Tidsserie
15/01/2023 06.00,00.37,KWH,Målt,Tidsserie
15/01/2023 07.00,00.36,KWH,Målt,Tidsserie
15/01/2023 08.00,00.51,KWH,Målt,Tidsserie
15/01/2023 09.00,01.21,KWH,Målt,Tidsserie
15/01/2023 10.00,01.01,KWH,Målt,Tidsserie
15/01/2023 11.00,00.19,KWH,Målt,Tidsserie
15/01/2023 12.00,02.57,KWH,Målt,Tidsserie
15/01/2023 13.00,0.100694444444444,KWH,Målt,Tidsserie
15/01/2023 14.00,0.0583333333333333,KWH,Målt,Tidsserie
15/01/2023 15.00,01.22,KWH,Målt,Tidsserie
15/01/2023 16.00,02.16,KWH,Målt,Tidsserie
15/01/2023 17.00,0.09375,KWH,Målt,Tidsserie
15/01/2023 18.00,01.59,KWH,Målt,Tidsserie
15/01/2023 19.00,0.0597222222222222,KWH,Målt,Tidsserie
15/01/2023 20.00,0.0527777777777778,KWH,Målt,Tidsserie
15/01/2023 21.00,00.44,KWH,Målt,Tidsserie
15/01/2023 22.00,00.36,KWH,Målt,Tidsserie
15/01/2023 23.00,00.38,KWH,Målt,Tidsserie
16/01/2023 00.00,00.36,KWH,Målt,Tidsserie
16/01/2023 01.00,00.38,KWH,Målt,Tidsserie
16/01/2023 02.00,00.42,KWH,Målt,Tidsserie
16/01/2023 03.00,00.04,KWH,Målt,Tidsserie
16/01/2023 04.00,00.43,KWH,Målt,Tidsserie
16/01/2023 05.00,00.55,KWH,Målt,Tidsserie
16/01/2023 06.00,0.0548611111111111,KWH,Målt,Tidsserie
16/01/2023 07.00,0.0506944444444444,KWH,Målt,Tidsserie
16/01/2023 08.00,0.0847222222222222,KWH,Målt,Tidsserie
16/01/2023 09.00,0.0604166666666667,KWH,Målt,Tidsserie
16/01/2023 10.00,02.59,KWH,Målt,Tidsserie
